Country / Region,Disease,Denominator,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990,1989,1988,1987,1986,1985,1984,1983,1982,1981,1980
Afghanistan,Measles,"per 1,000,000 total population",,9.3,54.1,41.6,18,33.5,14.7,13.3,89.4,100,68.2,100.8,57.7,42.1,75.3,50.5,18.8,33.7,110,405.5,314.3,178.9,111.7,,,,,,,59.6,129.6,98.6,392.6,892.5,690.8,"1,211","1,327.3","1,500.1","1,577.3","2,361.7","2,429.9"
Albania,Measles,"per 1,000,000 total population",1.4,169.4,509.6,4.2,5.9,,,0,3.1,9.6,3.4,0,,7.3,22.2,1.9,2.3,2.6,5.1,5.8,211.6,255.2,611.1,769.7,388.6,4.8,9.2,2.2,0,0,,"41,754.8",0,0,0,0,0,6,1.1,,
Algeria,Measles,"per 1,000,000 total population",,60,79.5,2.7,1,1.6,0,0.7,0.5,3.1,2.9,3,6.2,0,28.1,69.4,100.6,476.5,184,85.4,,81.7,109.3,658.1,717.6,285.3,209.6,113.7,326.4,226.1,69.7,166.1,107.8,105.2,172.1,896.7,"1,036.3","1,048.5","1,446.4","1,051.7",807.8
Andorra,Measles,"per 1,000,000 total population",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.3,74.2,30.6,31.1,,77.7,,,,,,,,,,,,,,,,,
Angola,Measles,"per 1,000,000 total population",33,93.9,1.9,1,1.8,4.3,434.2,327.6,177.6,59.8,50.9,124.7,12.2,48.5,38,13.3,1.5,66,681.8,533.8,135.3,22.1,167.7,550.2,17.4,45.5,405.8,709.2,"1,325.1","1,500.7","2,453.4","1,730.3","1,898.2","1,250.6","1,509.7","2,290.9","2,359.4","2,434.7","3,358.3","2,281.6","3,555.3"
Anguilla,Measles,"per 1,000,000 total population",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,Measles,"per 1,000,000 total population",0,0,10.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.2,16.2,161.8,0,"3,996.8","37,032.2"
Argentina,Measles,"per 1,000,000 total population",1.5,2.9,0.3,0.1,0,0,0,0,0,0.1,0.4,0.1,0,0,0,0,0,0,0,0,0.2,8.6,283.6,3.5,1.7,18.8,3.9,149.7,612.9,"1,272.5",60.3,124.7,150,257.3,210,305.8,"1,067.7",242.8,153.9,620.4,577.2
Armenia,Measles,"per 1,000,000 total population",0,2.4,6.4,0.3,0.7,11.3,4.5,3.5,0,0,0.7,0,0,0.3,46.3,765.1,594.2,1.3,13.2,22.6,4.9,13.3,16.7,256,639.8,58.1,45.4,100.5,13.4,54.8,248.4,,,,,,,,,,
Aruba,Measles,"per 1,000,000 total population",,9.4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,Measles,"per 1,000,000 total population",1,11.3,4.1,3.3,4.1,3.1,14.4,6.8,8.7,8.4,3.2,4.8,3,0.5,,0.5,3.5,4.6,1.6,7.3,5.7,12.5,17.6,46.4,27.4,66.6,275,257.7,81.9,80.3,51.9,10.1,15.1,,,,,,,,
Austria,Measles,"per 1,000,000 total population",2.8,,8.7,10.8,3.1,35.6,13.6,,4.2,8,6.2,5.9,53.7,2.4,2.8,1.1,1.8,11,,0,,0.1,0,0,,,,7.6,,,,,,,,,,,,,
Azerbaijan,Measles,"per 1,000,000 total population",0.2,28,5.5,0,0,0,0,17.5,0,0,0,,0.6,0,25.7,145,97.9,236.6,525.9,70,25.9,134.2,361.8,85.5,19.2,61,843.1,174.2,71.6,832,279.7,,,,,,,,,,
Bahamas,Measles,"per 1,000,000 total population",,7.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5,0,0,0,0,0,0,281,234.4,88.9,172.6,355.6,110.8,156.6,"12,741.9",227.1,209,"2,298.3"
Bahrain,Measles,"per 1,000,000 total population",0,1.8,0,0,0,0,34.4,,0,0,0,2.5,1.8,6.8,3.1,4.5,13.3,15.4,10.9,7.2,9,59.7,6.5,6.7,127.9,5.3,0,3.7,22.9,13.7,119,376.2,10.7,49,223.8,"4,553.8","2,784.7","1,104.8","2,971.9",879.4,"5,171.1"
Bangladesh,Measles,"per 1,000,000 total population",14.6,35.7,14,25.1,6.2,1.5,1.9,1.6,13.2,37.7,5.3,4.9,18.4,20.5,43.9,186.5,71.1,30.2,26.3,33.9,39.9,45.3,53.2,86,41.9,43.4,84.9,49.3,53.4,88,16.5,271.4,116.8,142.5,154,128.9,134,111.1,215.8,127.7,139.1
Barbados,Measles,"per 1,000,000 total population",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.6,195.5,7.7,3.9,7.8,7.8,27.3,19.6,23.5,23.6,161.9,107
Belarus,Measles,"per 1,000,000 total population",0,21.3,27.4,0.1,1.1,0.2,6.8,1.7,1.1,5.3,0.1,0,0,0.1,15.7,0.1,0.2,2.2,1.4,4.6,2.1,15.4,51.9,13.5,39.3,150.4,81.1,382.2,228.9,133,22.1,,,,,,,,,,
Belgium,Measles,"per 1,000,000 total population",4.1,41.6,10.2,32.1,,4.2,6.2,3.5,9.8,52.3,3.7,3,9.1,6,1.4,2.5,5.8,4.2,,8,,,0,378.4,707.4,"1,045.5","1,117.2",728.7,949.1,718.8,,"8,120.5","4,781.2",,,,,,,,
Belize,Measles,"per 1,000,000 total population",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.3,0,0,56.6,36.6,133.3,10.9,413.3,"1,285",731.3,42.4,24.9,70.6,39.6,"1,260.5","4,210.7"
Benin,Measles,"per 1,000,000 total population",1.5,37,42.9,8.7,8.2,5.2,76.4,63.7,29.6,45,42.6,163.3,106.7,40.3,21.4,26.3,33.8,28.9,217.7,827.9,618.1,386.1,100.2,"1,515.7",224,"1,772.7","1,322.5",742.9,571.9,"1,047.9",,680.7,"1,128.9","2,906.1","1,674.2","3,087.5","3,232.5","2,914.4","3,017","3,240.2","5,013.2"
Bermuda,Measles,"per 1,000,000 total population",0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bhutan,Measles,"per 1,000,000 total population",,2.6,23.9,88.5,61.1,15.1,0,0,1.4,14.4,30.6,8.8,10.4,16.5,3,17,4.7,0,43.8,"1,252.4",707.3,"17,166.2",116.9,306.3,16.6,276.8,"1,284.1",948.2,192.7,824.9,325.9,"1,060.9",749.7,"1,361.5","1,980.4","1,764.1","2,926","3,083.1","4,355","2,635.7","4,035.6"
Bolivia (Plurinational State of),Measles,"per 1,000,000 total population",0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.5,174.5,124,0.9,0.9,10,193,463.7,689.4,300.7,119.4,99.5,272.5,153.2,54.8,35.1,209.8,342.8,123.8,"1,343.5",749.3
Bosnia and Herzegovina,Measles,"per 1,000,000 total population",,425.3,18.7,5.4,39.3,489,861.5,,6.1,2.7,12.1,5.9,2.1,44.1,4.5,6.1,7.4,4.8,7.4,,11.5,35.5,752.7,"1,053.8",,32.6,222.3,61,34,41,114.7,,,,,,,,,,
Botswana,Measles,"per 1,000,000 total population",2.1,0,0,0,0.5,0,0.5,0.5,3.4,4,429.3,94.2,0,0.5,3.3,2.8,0.6,34,4.1,0.6,"1,626",272.6,444.2,"3,266.6",684.5,325.4,"1,706.3","3,807.4",415.1,426,946.6,"3,030.2",592.5,109.1,916.3,"1,574.4","8,967.1","6,567.4","1,570.3","2,318.3","4,556.3"
Brazil,Measles,"per 1,000,000 total population",,99,49.3,,0,1,4.3,1.1,0,0.2,0.3,0,0,0,0.3,0,0,0,0,0,0.2,5.3,16.4,312.7,3.5,4.9,0.2,38.5,51.4,280.5,412.3,156.2,182.3,468.9,935,561.8,610.9,450.1,311.2,495.9,822.4
British Virgin Islands,Measles,"per 1,000,000 total population",,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
