GROUP,CODE,NAME,YEAR,ANTIGEN,ANTIGEN_DESCRIPTION,COVERAGE_CATEGORY,COVERAGE_CATEGORY_DESCRIPTION,TARGET_NUMBER,DOSES,COVERAGE
Countries,AFG,Afghanistan,2020,MCV1,"Measles-containing vaccine, 1st dose",ADMIN,Administrative coverage,1780564,1365889,76.71
Countries,AFG,Afghanistan,2020,MCV2,"Measles-containing vaccine, 2nd dose",ADMIN,Administrative coverage,1780564,960032,53.92
Countries,AFG,Afghanistan,2019,MCV2,"Measles-containing vaccine, 2nd dose",ADMIN,Administrative coverage,1733907,905265,52
Countries,AFG,Afghanistan,2019,MCV1,"Measles-containing vaccine, 1st dose",ADMIN,Administrative coverage,1733907,1303953,75
Countries,AFG,Afghanistan,2018,MCV2,"Measles-containing vaccine, 2nd dose",ADMIN,Administrative coverage,1689680,1006097,59.54
Countries,AFG,Afghanistan,2018,MCV1,"Measles-containing vaccine, 1st dose",ADMIN,Administrative coverage,1689680,1393058,82.45
Countries,AFG,Afghanistan,2017,MCV1,"Measles-containing vaccine, 1st dose",ADMIN,Administrative coverage,1584508,1232145,77.76
Countries,AFG,Afghanistan,2017,MCV2,"Measles-containing vaccine, 2nd dose",ADMIN,Administrative coverage,1584508,809653,51.1
Countries,AFG,Afghanistan,2016,MCV2,"Measles-containing vaccine, 2nd dose",ADMIN,Administrative coverage,1220035,626662,51.36
Countries,AFG,Afghanistan,2016,MCV1,"Measles-containing vaccine, 1st dose",ADMIN,Administrative coverage,1220035,911280,74.69
Countries,AFG,Afghanistan,2015,MCV2,"Measles-containing vaccine, 2nd dose",ADMIN,Administrative coverage,,,
Countries,AFG,Afghanistan,2015,MCV1,"Measles-containing vaccine, 1st dose",ADMIN,Administrative coverage,1429729,1314752,92
Countries,AFG,Afghanistan,2014,MCV1,"Measles-containing vaccine, 1st dose",ADMIN,Administrative coverage,1317560,1278491,97
Countries,AFG,Afghanistan,2014,MCV2,"Measles-containing vaccine, 2nd dose",ADMIN,Administrative coverage,1317560,791861,60
Countries,AFG,Afghanistan,2013,MCV1,"Measles-containing vaccine, 1st dose",ADMIN,Administrative coverage,1286679,1183570,91.99
Countries,AFG,Afghanistan,2013,MCV2,"Measles-containing vaccine, 2nd dose",ADMIN,Administrative coverage,1286679,734030,57.05
Countries,AFG,Afghanistan,2012,MCV1,"Measles-containing vaccine, 1st dose",ADMIN,Administrative coverage,1256974,1067415,85
Countries,AFG,Afghanistan,2012,MCV2,"Measles-containing vaccine, 2nd dose",ADMIN,Administrative coverage,1256974,677890,54
Countries,AFG,Afghanistan,2011,MCV1,"Measles-containing vaccine, 1st dose",ADMIN,Administrative coverage,1227588,1000611,82
Countries,AFG,Afghanistan,2011,MCV2,"Measles-containing vaccine, 2nd dose",ADMIN,Administrative coverage,1227588,584711,48
Countries,AFG,Afghanistan,2010,MCV2,"Measles-containing vaccine, 2nd dose",ADMIN,Administrative coverage,1198817,555989,46
Countries,AFG,Afghanistan,2010,MCV1,"Measles-containing vaccine, 1st dose",ADMIN,Administrative coverage,1198817,946750.7333,79
Countries,AFG,Afghanistan,2009,MCV2,"Measles-containing vaccine, 2nd dose",ADMIN,Administrative coverage,1172935,474710,40
Countries,AFG,Afghanistan,2009,MCV1,"Measles-containing vaccine, 1st dose",ADMIN,Administrative coverage,1172935,895505,76
Countries,AFG,Afghanistan,2008,MCV2,"Measles-containing vaccine, 2nd dose",ADMIN,Administrative coverage,1145444,449578,39
Countries,AFG,Afghanistan,2008,MCV1,"Measles-containing vaccine, 1st dose",ADMIN,Administrative coverage,1145444,857008,75
Countries,AFG,Afghanistan,2007,MCV1,"Measles-containing vaccine, 1st dose",ADMIN,Administrative coverage,1083802,762743,70
Countries,AFG,Afghanistan,2007,MCV2,"Measles-containing vaccine, 2nd dose",ADMIN,Administrative coverage,1083802,169952,15.68
Countries,AFG,Afghanistan,2006,MCV1,"Measles-containing vaccine, 1st dose",ADMIN,Administrative coverage,1059772,725610,68
Countries,AFG,Afghanistan,2006,MCV2,"Measles-containing vaccine, 2nd dose",ADMIN,Administrative coverage,1058824,272478,26
Countries,AFG,Afghanistan,2005,MCV2,"Measles-containing vaccine, 2nd dose",ADMIN,Administrative coverage,1045188,139334,13
Countries,AFG,Afghanistan,2005,MCV1,"Measles-containing vaccine, 1st dose",ADMIN,Administrative coverage,1045188,666149,64
