COUNTRY,YEAR,VALUE
ALB,1982,0.11
ALB,1983,0.6
ALB,1984,0
ALB,1985,0
ALB,1986,0
ALB,1987,0
ALB,1988,0
ALB,1989,4274.55
ALB,1991,0
ALB,1992,0
ALB,1993,0.22
ALB,1994,0.91
ALB,1995,0.46
ALB,1996,36.67
ALB,1997,71.77
ALB,1998,56.67
ALB,1999,23.63
ALB,2000,21.26
ALB,2001,0.59
ALB,2002,0.52
ALB,2003,0.26
ALB,2004,0.22
ALB,2005,0.2
ALB,2006,2.27
ALB,2007,0.74
ALB,2009,0
ALB,2010,0.34
ALB,2011,0.96
ALB,2012,0.31
ALB,2013,0
ALB,2016,0.59
ALB,2017,0.42
ALB,2018,51.32
ALB,2019,17.05
AND,1997,7.7
AND,1999,3.03
AND,2000,3.03
AND,2001,7.57
AND,2002,1.5
AND,2003,0
AND,2004,0
AND,2005,0
AND,2006,0
AND,2007,0
AND,2008,0
AND,2009,0
AND,2010,0
AND,2011,0
AND,2012,0
AND,2013,0
AND,2014,0
AND,2015,0
AND,2016,0
AND,2017,0
AND,2018,0
AND,2019,0
AND,2020,0
ARM,1990,26.23
ARM,1991,5.32
ARM,1992,1.25
ARM,1993,9.76
ARM,1994,4.44
ARM,1995,5.74
ARM,1996,62.39
ARM,1997,24.71
ARM,1998,1.61
ARM,1999,1.27
ARM,2000,0.46
ARM,2001,2.15
ARM,2002,1.24
ARM,2003,0.12
ARM,2004,55.48
ARM,2005,70.89
ARM,2006,4.24
ARM,2007,0.03
ARM,2008,0
ARM,2009,0
ARM,2010,0.06
ARM,2011,0
ARM,2012,0
ARM,2013,0.33
ARM,2014,0.43
ARM,2015,1.09
ARM,2016,0.07
ARM,2017,0.03
ARM,2018,0.64
ARM,2019,0.24
ARM,2020,0
AUT,1988,3.27
AUT,1989,2.22
AUT,1990,11.46
AUT,1991,17.8
AUT,1992,18.17
AUT,1993,0.76
AUT,1994,61.68
AUT,1995,15.07
AUT,1996,6.26
AUT,1997,0
AUT,1998,0
AUT,1999,0.01
AUT,2000,1.35
AUT,2001,0
AUT,2002,0.4
AUT,2003,1.11
AUT,2004,0.18
AUT,2005,0.11
AUT,2006,0.28
