COUNTRY,YEAR,VALUE
ALB,1982,3
ALB,1983,17
ALB,1984,0
ALB,1985,0
ALB,1986,0
ALB,1987,0
ALB,1988,0
ALB,1989,136034
ALB,1991,0
ALB,1992,0
ALB,1993,7
ALB,1994,29
ALB,1995,15
ALB,1996,1204
ALB,1997,2386
ALB,1998,1901
ALB,1999,797
ALB,2000,662
ALB,2001,18
ALB,2002,16
ALB,2003,8
ALB,2004,7
ALB,2005,6
ALB,2006,68
ALB,2007,22
ALB,2009,0
ALB,2010,10
ALB,2011,28
ALB,2012,9
ALB,2013,0
ALB,2016,17
ALB,2017,12
ALB,2018,1469
ALB,2019,488
AND,1997,5
AND,1999,2
AND,2000,2
AND,2001,5
AND,2002,1
AND,2003,0
AND,2004,0
AND,2005,0
AND,2006,0
AND,2007,0
AND,2008,0
AND,2009,0
AND,2010,0
AND,2011,0
AND,2012,0
AND,2013,0
AND,2014,0
AND,2015,0
AND,2016,0
AND,2017,0
AND,2018,0
AND,2019,0
AND,2020,0
ARM,1990,879
ARM,1991,192
ARM,1992,46
ARM,1993,338
ARM,1994,149
ARM,1995,187
ARM,1996,2027
ARM,1997,802
ARM,1998,52
ARM,1999,41
ARM,2000,15
ARM,2001,69
ARM,2002,40
ARM,2003,4
ARM,2004,1783
ARM,2005,2281
ARM,2006,137
ARM,2007,1
ARM,2008,0
ARM,2009,0
ARM,2010,2
ARM,2011,0
ARM,2012,0
ARM,2013,10
ARM,2014,13
ARM,2015,33
ARM,2016,2
ARM,2017,1
ARM,2018,19
ARM,2019,7
ARM,2020,0
AUT,1988,248
AUT,1989,169
AUT,1990,880
AUT,1991,1380
AUT,1992,1425
AUT,1993,60
AUT,1994,4895
AUT,1995,1198
AUT,1996,498
AUT,1997,0
AUT,1998,0
AUT,1999,1
AUT,2000,108
AUT,2001,0
AUT,2002,32
AUT,2003,90
AUT,2004,15
AUT,2005,9
AUT,2006,23
AUT,2007,20
AUT,2008,448
AUT,2009,49
AUT,2010,52
AUT,2011,68
AUT,2012,36
AUT,2013,158
AUT,2014,117
AUT,2015,309
AUT,2016,27
AUT,2017,95
AUT,2018,77
AUT,2019,286
AUT,2020,25
AZE,1990,2026
AZE,1991,6122
AZE,1992,535
AZE,1993,1321
AZE,1994,6478
AZE,1995,474
AZE,1996,151
AZE,1997,678
AZE,1998,2891
AZE,1999,1081
AZE,2000,210
AZE,2001,574
AZE,2002,4353
AZE,2003,1978
AZE,2004,827
AZE,2005,1238
AZE,2006,222
AZE,2007,0
AZE,2008,5
AZE,2009,49
AZE,2010,0
AZE,2011,0
AZE,2012,0
AZE,2013,164
AZE,2014,0
AZE,2015,0
AZE,2016,0
AZE,2017,0
AZE,2018,55
AZE,2019,281
AZE,2020,2
BEL,1988,47616
BEL,1989,81044
BEL,1991,7216
BEL,1992,9565
BEL,1993,7373
BEL,1994,11346
BEL,1995,10650
BEL,1996,7221
BEL,1997,3869
BEL,1998,0
BEL,2001,83
BEL,2003,44
BEL,2004,61
BEL,2005,26
BEL,2006,15
BEL,2007,64
BEL,2008,98
BEL,2009,33
BEL,2010,40
BEL,2011,576
BEL,2012,109
BEL,2013,39
BEL,2014,70
BEL,2015,47
BEL,2017,367
BEL,2018,117
BEL,2019,480
BGR,1974,41335
BGR,1975,20162
BGR,1976,16877
BGR,1977,806
BGR,1978,423
BGR,1979,249
BGR,1980,10763
BGR,1981,9239
BGR,1982,281
BGR,1983,326
BGR,1984,292
BGR,1985,972
BGR,1986,1370
BGR,1987,1560
BGR,1988,404
BGR,1989,111
BGR,1990,147
BGR,1991,2028
BGR,1992,20258
BGR,1993,354
BGR,1994,121
BGR,1995,172
BGR,1996,695
BGR,1997,23
BGR,1998,80
BGR,1999,24
BGR,2000,46
BGR,2001,8
BGR,2002,0
BGR,2003,0
BGR,2004,0
BGR,2005,3
BGR,2006,1
BGR,2007,1
BGR,2008,1
BGR,2009,2249
BGR,2010,22004
BGR,2011,157
BGR,2012,1
BGR,2013,14
BGR,2014,0
BGR,2015,0
BGR,2016,1
BGR,2017,165
BGR,2018,13
BGR,2019,1231
BGR,2020,257
BIH,1990,512
BIH,1991,179
BIH,1992,144
BIH,1993,249
BIH,1994,875
BIH,1995,125
BIH,1997,3937
BIH,1998,2811
BIH,1999,133
BIH,2000,43
BIH,2002,28
BIH,2003,18
BIH,2004,28
BIH,2005,23
BIH,2006,17
BIH,2007,166
BIH,2008,8
BIH,2009,22
BIH,2010,45
BIH,2011,10
BIH,2012,22
BIH,2014,3000
BIH,2015,1677
BIH,2016,133
BIH,2017,18
BIH,2018,62
BIH,2019,1404
BLR,1990,224
BLR,1991,1351
BLR,1992,2324
BLR,1993,3874
BLR,1994,820
BLR,1995,1516
BLR,1996,395
BLR,1997,135
BLR,1998,517
